lista_surowiec_grupa,lista_towar_grupa,lista_usluga_grupa,lista_dlugoterminowe_grupa,lista_dziaÅ‚y,lista_typy,lista_nazwa_wew,lista_typ,lista_grupa,lista_jm_wew,lista_dziaÅ‚,,,,,,,lista_jm
,,,,,,szyjki rakowe,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,Å›liwka suszona,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,Å›mietana 34%,surowiec,nabiaÅ‚,l,kuchnia,,,,,,,
,,,,,,Å›mietana homogenizowana,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,tagliatelle mroÅ¼one,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,tagliolini,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,tagliolini czarne mroÅ¼one,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,tempeh,surowiec,vegan,kg,kuchnia,,,,,,,
,,,,,,tofu naturalne,surowiec,vegan,kg,kuchnia,,,,,,,
,,,,,,tofu wÄ™dzone,surowiec,vegan,kg,kuchnia,,,,,,,
,,,,,,twarÃ³g,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,twarÃ³g sernikowy wiaderko,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,tymianek Å›wieÅ¼y,surowiec,zioÅ‚o,kg,kuchnia,,,,,,,
,,,,,,wanilia laska,surowiec,suchy,szt,kuchnia,,,,,,,
,,,,,,wieprzowina Å‚opatka b/k,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,wieprzowina schab b/k,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,wieprzowina schab z/k,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,wÅ‚oszczyzna paski,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,woda,surowiec,vegan,l,kuchnia,,,,,,,
,,,,,,"woda b/g 0,5l",surowiec,vegan,l,pracownicy,,,,,,,
,,,,,,"woda b/g 1,5l",surowiec,vegan,l,pracownicy,,,,,,,
,,,,,,woda kran,surowiec,vegan,l,kuchnia,,,,,,,
,,,,,,"woda z/g 1,5l",surowiec,vegan,l,pracownicy,,,,,,,
,,,,,,woÅ‚owina I,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,woÅ‚owina kark,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,woÅ‚owina polÄ™dwica,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,zakwas na Å¼urek,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,ziele angielskie,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,ziemniak caÅ‚y,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,Ziemniak pieczony 250g,surowiec,warzywo,szt,kuchnia,,,,,,,
,,,,,,ziemniaki obgotowane,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,zioÅ‚a prowansalskie,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,Å¼Ã³Å‚tka pasteryzowane,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,Å¼urawina suszona,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,sok pomaraÅ„czowy 1l,towar,nap_zimne,l,bar,,,,,,,
,,,,,,"sok pomaraÅ„czowy 3,5l",towar,nap_zimne,l,bar,,,,,,,
,,,,,,kawa saszetki,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,"kubek do kawy MK 0,2l",towar,opakowania,szt,bar,,,,,,,
,,,,,,"wieczko do kubka MK 0,2l",towar,opakowania,szt,bar,,,,,,,
,,,,,,mieszadeÅ‚ko plastik,towar,opakowania,szt,bar,,,,,,,
,,,,,,cukier saszetki,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,czekolada gorÄ…ca proszek,towar,nap_gorace,kg,kuchnia,,,,,,,
,,,,,,herbata czarna koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata czarna bez kopert,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata earl grey koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata zielona koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata brzoskwinia koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata cytryna/limonka,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata cz. porzeczka koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata granat/passiflora koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata gruszka/pomaraÅ„cz koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata imbir/miÃ³d koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata jagoda/wanilia koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata jaÅ›min koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata cytryna koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata trawa cytr/cytryna koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata liczi koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata malina koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata mango/truskawka koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata jagoda koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata maroko/miÄ™ta koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata skÃ³ra cytryna koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata miÄ™ta koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata rÃ³Å¼a/hibiskus koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata rumianek koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata truskawka koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,herbata wanilia koperty,towar,nap_gorace,szt,bar,,,,,,,
,,,,,,wino biaÅ‚e,towar,wino,l,bar,,,,,,,
,,,,,,wino czerwone,towar,wino,l,bar,,,,,,,
,,,,,,,#N/A,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,#REF!,#REF!,#REF!,,,,,,,
